doc_id,sentence,pattern_type,matched_text,ai_similarity,impact_verbs,affected_entities,magnitudes,timeframes,sentence_length,domain,impact_type,primary_magnitude,sentiment_score
AIart,"In this paper, we review some of these harms which
include reputational damage, economic loss, plagiarism and copy-
right infringement.",ECONOMIC_IMPACT,economic,0.4082364830694341,[],[],[],[],26,economic,negative,,0.6519978642463684
AIart,AI Art and its Impact on Artists.,ECONOMIC_IMPACT,Impact,0.4206607208929541,[],"['ai', 'art']",[],[],8,economic,neutral,,0.696433961391449
AIart,"The dataset consists of 5.85 billion CLIP-filtered image-text
pairs, of which 2.32B contain English language text.",ECONOMIC_IMPACT,5.85 billion,0.4289917173237339,[],['clip'],"['5.85', 'billion']",[],23,economic,neutral,5.85,0.9101386666297913
AIart,"The dataset consists of 5.85 billion CLIP-filtered image-text
pairs, of which 2.32B contain English language text.",ECONOMIC_IMPACT,billion,0.4289917173237339,[],['clip'],"['5.85', 'billion']",[],23,economic,neutral,5.85,0.9101386666297913
AIart,"This latent space is
learned during the model’s training process.",SKILL_WAGE_IMPACT,training,0.4351538964590385,[],[],[],[],13,skills_wages,neutral,,0.9109334945678711
AIart,"Otomo notes that he created these images by drawing inspiration
from his own teenage years, thinking about a rebuilding world,
foreign political influence, and an uncertain future after World War
II",JOB_IMPACT,created,0.4538136038077833,['create'],"['he', 'image']",[],[],37,employment,neutral,,0.8534803986549377
AIart,"Otomo notes that he created these images by drawing inspiration
from his own teenage years, thinking about a rebuilding world,
foreign political influence, and an uncertain future after World War
II",TIMEFRAME,years,0.4538136038077833,['create'],"['he', 'image']",[],[],37,general,neutral,,0.8534803986549377
AIart,"Stability AI CEO Emad Mosque has even accused artists of
wanting to have a “monopoly on visual communications” and “skill
segregation”7.",SKILL_WAGE_IMPACT,skill,0.46916633520787326,[],"['stability', 'ai', 'emad', 'mosque']",[],[],27,skills_wages,negative,,0.5700049996376038
AIart,"This type of work reduces hard earned years of skill and artistic eye
to simple cleanup work, with no agency for creative decisions.",JOB_IMPACT,reduces,0.4808880182881732,['reduce'],"['type', 'year']",[],[],26,employment,negative,,0.801645040512085
AIart,"This type of work reduces hard earned years of skill and artistic eye
to simple cleanup work, with no agency for creative decisions.",TIMEFRAME,years,0.4808880182881732,['reduce'],"['type', 'year']",[],[],26,skills_wages,negative,,0.801645040512085
AIart,"This type of work reduces hard earned years of skill and artistic eye
to simple cleanup work, with no agency for creative decisions.",SKILL_WAGE_IMPACT,skill,0.4808880182881732,['reduce'],"['type', 'year']",[],[],26,skills_wages,negative,,0.801645040512085
AIart,"In this paper, we have reviewed the chilling impact of image gener-
ators on the art community, ranging from economic loss, to reputa-
tional damage and stereotyping.",ECONOMIC_IMPACT,impact,0.4286726429911332,[],[],[],[],33,economic,negative,,0.6770173907279968
AIart,"In this paper, we have reviewed the chilling impact of image gener-
ators on the art community, ranging from economic loss, to reputa-
tional damage and stereotyping.",ECONOMIC_IMPACT,economic,0.4286726429911332,[],[],[],[],33,economic,negative,,0.6770173907279968
AIart,"Large Scale GAN
Training for High Fidelity Natural Image Synthesis.",SKILL_WAGE_IMPACT,Training,0.5309810103478598,[],"['large', 'scale', 'gan']",[],[],12,skills_wages,neutral,,0.9057191014289856
AIart,"Extracting
Training Data from Diffusion Models.",SKILL_WAGE_IMPACT,Training,0.4544036252398676,[],[],[],[],8,skills_wages,neutral,,0.9202632308006287
AIart,"Generative
AI’s Impact & Paths Forward.",ECONOMIC_IMPACT,Impact,0.42268070036489347,[],"['ai', '’s', 'impact', '&', 'paths', 'forward']",[],[],9,economic,neutral,,0.6802768111228943
AIart,"LAION-5B:
An open large-scale dataset for training next generation image-text models.
",SKILL_WAGE_IMPACT,training,0.4152258120434047,[],[],[],[],19,skills_wages,neutral,,0.7652159333229065
AIfuture,"From early mechanize looms displacing artisan weavers to computers reshaping 20th century offices, 
technological progress continually changes occupationa l structures.",JOB_IMPACT,displacing,0.4172170139577136,['displace'],['weaver'],['20th'],[],23,employment,neutral,20th,0.8590515851974487
AIfuture,"From early mechanize looms displacing artisan weavers to computers reshaping 20th century offices, 
technological progress continually changes occupationa l structures.",TIMEFRAME,20th century,0.4172170139577136,['displace'],['weaver'],['20th'],[],23,employment,neutral,20th,0.8590515851974487
AIfuture,"From early mechanize looms displacing artisan weavers to computers reshaping 20th century offices, 
technological progress continually changes occupationa l structures.",TIMEFRAME,century,0.4172170139577136,['displace'],['weaver'],['20th'],[],23,employment,neutral,20th,0.8590515851974487
AIfuture,"Current patterns continue this traje ctory with automated factories and supply chains 
reducing production jobs, especially in developed countries.",JOB_IMPACT,reducing,0.4667953309736432,"['automate', 'reduce']",['job'],[],[],22,employment,negative,,0.6835349798202515
