doc_id,sentence,pattern_type,matched_text,ai_similarity,impact_verbs,affected_entities,magnitudes,timeframes,sentence_length,domain,impact_type,primary_magnitude,sentiment_score
741-Article Text-738-1-10-20080129,"An increasing number of intelligists
also think that AI is undergoinganother paradigm change away fromthe current symbolic processingparadigm to that of massive paral-lelism, or parallel distributed process-ing (PDP), or",DEPENDENCY_ANALYSIS,N/A,0.4588301422201258,['increase'],"['ai', 'pdp']",[],[],38,general,neutral,,0.8478705286979675
741-Article Text-738-1-10-20080129,"Molecular biology has made so
much progress in the study of bacteriaover the last decade that more andmore biochemists are moving up tomulticellular creatures and studyingsuch molecular mechanisms asembryological development, includinghow neurons grow and connect withother neurons.",TIMEFRAME,decade,0.4050989881632661,[],[],[],[],40,general,positive,,0.6624075770378113
741-Article Text-738-1-10-20080129,"Another impact on the general pub-
lic will come from household andcommercial robots.",ECONOMIC_IMPACT,impact,0.5704522247041357,[],[],[],[],15,economic,neutral,,0.7059842348098755
741-Article Text-738-1-10-20080129,"Because the question of the riseof the twenty-ﬁrst century artilectconcerns everyone, a wide range ofdisciplines should be represented atsuch a conference.",TIMEFRAME,century,0.4961673540603253,[],[],[],[],23,general,neutral,,0.6925300359725952
741-Article Text-738-1-10-20080129,"The 21st Century
Artilect, Moral Dilemmas Concerning theUltra Intelligent Machine.",TIMEFRAME,21st Century,0.5202304493411173,[],"['moral', 'dilemmas', 'concern', 'theultra', 'intelligent', 'machine']",['21st'],[],13,general,neutral,21st,0.8569785356521606
741-Article Text-738-1-10-20080129,"The 21st Century
Artilect, Moral Dilemmas Concerning theUltra Intelligent Machine.",TIMEFRAME,Century,0.5202304493411173,[],"['moral', 'dilemmas', 'concern', 'theultra', 'intelligent', 'machine']",['21st'],[],13,general,neutral,21st,0.8569785356521606
2b440821-en,"Audits of automated employment decision tools in New York City  59 
 
 
  
DELSA/ELSA/WD/SEM(2023)2   9 
ARTIFICIAL INTELLIGENCE AND LABOUR MARKET MATCHING  
Unclassified  Executive Summary  
Good labour market performance depends  in part  on the efficiency and the quality of labour market 
matching —i.e., the process by which workers are matched to jobs .",DEPENDENCY_ANALYSIS,N/A,0.42047720117230614,['automate'],"['new', 'york', 'city']","['59', '9']",[],69,productivity,neutral,59,0.8896267414093018
2b440821-en,Technology may offer some  solution s to improve labour market matching .,DEPENDENCY_ANALYSIS,N/A,0.402110751457141,['improve'],['matching'],[],[],13,economic,positive,,0.6032738089561462
2b440821-en,"Such internal mobility can 
help fill skill gaps in the organisation, while satis fying employees’ desire for career progression and new 
challenges .  
",SKILL_WAGE_IMPACT,skill,0.4132111608155047,[],[],[],[],28,skills_wages,neutral,,0.5501880049705505
2b440821-en,"Automatic Analysis of CVs and vacancies at the French and Flemish Public Employment 
Services   
Automatic CV Analysis at Pôle Emploi  
The Fre nch PES, Pôle Emploi, uses a tool called “Automatic CV Analysis” ( Analyse Automatique de 
CV – AACV ) which helps j obseeker s from the moment they  create a profile with Pôle Emploi .",JOB_IMPACT,create,0.4267318194099313,['create'],"['french', 'automatic', 'cv', 'analysis', 'fre', 'pes', 'pôle', 'emploi', '""', 'automatic', 'cv', 'analysis', 'analyse', 'automatique', 'de', '\n', 'cv', 'obseeker', 's', 'they', 'profile']",[],[],66,employment,neutral,,0.9264888763427734
2b440821-en,"Entelo does this by searching (scraping) 200 
million candidate profiles from 50 Internet sources  (Chamorro -Premuzic et  al., 2016",ECONOMIC_IMPACT,million,0.41177645986237243,[],"['entelo', 'chamorro', 'al', '.']","['200', 'million', '50', '2016']",[],27,economic,neutral,200,0.9102253913879395
2b440821-en,Some tools identify skills gaps to help j obseeker s improve their employability .,DEPENDENCY_ANALYSIS,N/A,0.44387757460812177,['improve'],"['s', 'employability']",[],[],14,skills_wages,neutral,,0.8291838765144348
2b440821-en,"A managing director for workforce transformati on 
at a large con sulting company added: “ AI can increase transparency.",DEPENDENCY_ANALYSIS,N/A,0.4682701520266856,['increase'],"['ai', 'transparency']",[],[],22,general,neutral,,0.7266820669174194
2b440821-en,"More specifically, Next Step uses a random forest model to estimate the probability that an individual 
finds a job within the next six months.",TIMEFRAME,six months,0.48226772029785836,[],"['next', 'step']",['six'],[],27,employment,neutral,six,0.9230957627296448
